Indice_prediccion,id_documento,Categoria_real,Categoria_predicha,Texto,Prediccion_correcta,Puntuacion_maxima,Margen_decision,Categoria_recalculada,Segunda_categoria,Puntuacion_ganadora,Puntuacion_segunda,Margen_decision_recalculado
0,2137,backend,backend,7 best backend tools for vibe coders in 2026 7 best backend tools for vibe coders in 2026 vibe coding building applications through ai prompting rather than traditional programming has. ai ai,True,0.830263572770738,1.7610628184591448,backend,cloud,0.830263572770738,-0.9307992456884068,1.7610628184591448
1,1640,cloud,cloud,detecting and managing terraform drift detecting and managing terraform drift terraform assumes it s the only thing managing your infrastructure. the moment something changes.,True,1.3214958335086755,2.656088719416071,cloud,frontend,1.3214958335086755,-1.3345928859073957,2.656088719416071
2,3991,frontend,frontend,instant ux: optimistic ui with next.js server actions instant ux: optimistic ui with next.js server actions liquid syntax error: variable raw was not properly terminated with regexp:,True,1.3871075033242648,2.806537806781549,frontend,datascience,1.3871075033242648,-1.4194303034572844,2.806537806781549
3,4333,backend,backend,5 python tricks every backend dev should know 5 python tricks every backend dev should know as backend developers we re constantly seeking ways to optimize our workflow and improve the quality.,True,1.2200734979744006,2.371390396487257,backend,cloud,1.2200734979744006,-1.1513168985128568,2.371390396487257
4,1933,cloud,cloud,netdata s intrusive cloud account prompts: how to disable and regain focus on system monitoring netdata s intrusive cloud account prompts: how to disable and regain focus on system monitoring introduction netdata a once-revered open-source monitoring tool has increasingly. netdata netdata,True,1.313044762571797,2.4985431243777207,cloud,datascience,1.313044762571797,-1.1854983618059238,2.4985431243777207
5,2448,datascience,datascience,your pipeline is 21.0h behind: catching artificial intelligence sentiment leads with pulsebit your pipeline is 21.0h behind: catching artificial intelligence sentiment leads with pulsebit your pipeline is 21.0h behind: catching artificial intelligence sentiment leads with. 21.0h 21.0h,True,1.8961875168085816,3.2269777689191264,datascience,frontend,1.8961875168085816,-1.330790252110545,3.2269777689191264
6,3240,datascience,datascience,your pipeline is 19.7h behind: catching environment sentiment leads with pulsebit your pipeline is 19.7h behind: catching environment sentiment leads with pulsebit your pipeline is 19.7h behind: catching environment sentiment leads with pulsebit we just. 19.7h 19.7h,True,1.3746008313842617,2.701362336125213,datascience,frontend,1.3746008313842615,-1.326761504740952,2.7013623361252135
7,3046,datascience,datascience,how i explored a us health dataset with python eda + hypothesis testing how i explored a us health dataset with python eda + hypothesis testing i recently completed an exploratory data analysis project on the nhanes national health and. nhanes nhanes,True,1.451782403928286,2.5644245591249493,datascience,cloud,1.451782403928286,-1.1126421551966632,2.5644245591249493
8,3631,frontend,frontend,modern frontend testing is mostly about state timing and geometry modern frontend testing is mostly about state timing and geometry frontend testing used to sound simple: open a page find an element click it and verify the.,True,1.8769504621922657,3.134879506584811,frontend,cloud,1.8769504621922657,-1.2579290443925453,3.134879506584811
9,3305,backend,backend,the architecture spiral: rpc sql and the myth of linear evolution the architecture spiral: rpc sql and the myth of linear evolution if you sit in on enough system design meetings you inevitably witness the exact same debate play out.,True,1.4200582071617591,1.9127664231435249,backend,datascience,1.4200582071617593,-0.4927082159817655,1.9127664231435249
10,4227,datascience,datascience,paraguay vs australia: match prediction model analysis 2026-06-26 paraguay vs australia: match prediction model analysis 2026-06-26 published: 2026-06-24 footballmoney.top paraguay vs australia 世界杯 2026-06-26 2026-06-26 paraguay australia 2026-06-24 2026-06-26 paraguay australia 2026-06-24,True,1.503744601415398,2.662986675373578,datascience,cloud,1.5037446014153981,-1.15924207395818,2.662986675373578
11,3800,cloud,cloud,caddy vs nginx in 2026: when automatic https is worth the switch caddy vs nginx in 2026: when automatic https is worth the switch a practical comparison of caddy and nginx for solo developers and small teams: certificate management performance trade-offs config ergonomics and when switching actually pays off. nginx nginx,True,-0.0789057650062239,0.4593060529062707,cloud,backend,-0.07890576500622393,-0.5382118179124946,0.4593060529062707
12,2440,frontend,frontend,multi-cloud architecture: benefits tradeoffs and practical patterns multi-cloud architecture: benefits tradeoffs and practical patterns multi-cloud architecture: benefits tradeoffs and practical patterns multi-cloud using.,True,0.1616476963152094,0.5434889483128506,frontend,cloud,0.16164769631520948,-0.3818412519976411,0.5434889483128506
13,293,backend,backend,the trust problem at the heart of every marketplace the trust problem at the heart of every marketplace every two-sided marketplace has the same core problem: how do you get two strangers to transact.,True,0.2402978599912822,0.9966236405194452,backend,datascience,0.24029785999128228,-0.756325780528163,0.9966236405194453
14,1989,backend,backend,what i learned during my first month of learning react and backend development what i learned during my first month of learning react and backend development what i learned during my first month of learning react and backend development what i learned during. learning react and backend development my first month learning react and backend development my first month,True,0.5656075362987806,0.4838027449836671,backend,frontend,0.5656075362987806,0.08180479131511342,0.48380274498366715
15,2256,frontend,frontend,a visual css grid builder in 500 lines how fr minmax and repeat actually compute sizes a visual css grid builder in 500 lines how fr minmax and repeat actually compute sizes almost every developer can copy grid-template-columns: repeat auto-fit minmax 140px 1fr and. 1fr 1fr,True,1.833462274985663,3.3611144356721456,frontend,cloud,1.833462274985663,-1.5276521606864826,3.3611144356721456
16,2325,datascience,datascience,understanding data distributions and their importance in data science understanding data distributions and their importance in data science introduction one of the most important concepts in statistics and data science is the.,True,2.200651600808552,3.5729207532445386,datascience,frontend,2.200651600808552,-1.372269152435987,3.5729207532445386
17,957,backend,backend,day 92 of learning mern stack day 92 of learning mern stack hello dev community it is officially day 92 of my 100-day backend and database engineering.,True,2.157628081966504,3.5590354490093934,backend,frontend,2.1576280819665037,-1.4014073670428897,3.5590354490093934
18,3783,datascience,datascience,your pipeline is 23.1h behind: catching economy sentiment leads with pulsebit your pipeline is 23.1h behind: catching economy sentiment leads with pulsebit your pipeline is 23.1h behind: catching economy sentiment leads with pulsebit we recently stumbled. 23.1h 23.1h,True,1.6361247587706376,3.000697960749196,datascience,frontend,1.6361247587706376,-1.3645732019785584,3.000697960749196
