case_id,categoria_real,en,es,es_en,ru,num_predicciones_distintas,consistente,tipo_estabilidad
backend_001,backend,backend,backend,backend,backend,1,True,estable_correcto
backend_002,backend,backend,backend,backend,backend,1,True,estable_correcto
backend_003,backend,backend,backend,backend,backend,1,True,estable_correcto
backend_004,backend,backend,backend,backend,backend,1,True,estable_correcto
backend_005,backend,backend,backend,backend,backend,1,True,estable_correcto
cloud_001,cloud,cloud,backend,cloud,cloud,2,False,sensible_idioma
cloud_002,cloud,cloud,cloud,cloud,cloud,1,True,estable_correcto
cloud_003,cloud,cloud,cloud,cloud,cloud,1,True,estable_correcto
cloud_004,cloud,cloud,cloud,cloud,cloud,1,True,estable_correcto
cloud_005,cloud,frontend,frontend,frontend,cloud,2,False,sensible_idioma
datascience_001,datascience,datascience,datascience,datascience,datascience,1,True,estable_correcto
datascience_002,datascience,datascience,datascience,datascience,cloud,2,False,sensible_idioma
datascience_003,datascience,datascience,cloud,datascience,cloud,2,False,sensible_idioma
datascience_004,datascience,datascience,datascience,datascience,cloud,2,False,sensible_idioma
datascience_005,datascience,datascience,backend,datascience,cloud,3,False,sensible_idioma
frontend_001,frontend,frontend,frontend,frontend,frontend,1,True,estable_correcto
frontend_002,frontend,frontend,frontend,frontend,frontend,1,True,estable_correcto
frontend_003,frontend,frontend,frontend,frontend,frontend,1,True,estable_correcto
frontend_004,frontend,frontend,frontend,frontend,frontend,1,True,estable_correcto
frontend_005,frontend,frontend,backend,frontend,frontend,2,False,sensible_idioma
