case_id,idioma,categoria_real,texto,dificultad,origen,request_id,record_id,timestamp_utc,input_type,text,characters,words,valid_input,validation_message,estado,categoria_predicha,segunda_categoria,puntuacion_ganadora,puntuacion_segunda,margen_decision,nivel_margen,terminos_activos,word_features_activas,char_features_activas,features_activas_total,accion_recomendada,requiere_revision,prediccion_utilizable,advertencias,ranking_categorias,explicacion,correcta,failure_type
cloud_001,es,cloud,"Desplegar una aplicación en AWS usando ECR, ECS y un Application Load Balancer con auto scaling para aumentar la capacidad.",facil,synthetic_controlled,9d81e0ea-4a1e-4bba-bb78-a4bf97d0bcb6,20,2026-08-13T07:20:24.386+00:00,str,"Desplegar una aplicación en AWS usando ECR, ECS y un Application Load Balancer con auto scaling para aumentar la capacidad.",123,20,True,Inferencia completada.,revision,backend,cloud,0.2961469361482041,-0.01916573712163916,0.31531267326984325,Baja,234,5,229,234,Revisión humana recomendada,True,True,['El margen de decisión es reducido.'],"[{'position': 1, 'category': 'backend', 'score': 0.2961469361482041}, {'position': 2, 'category': 'cloud', 'score': -0.01916573712163916}, {'position': 3, 'category': 'datascience', 'score': -1.4212989147233146}, {'position': 4, 'category': 'frontend', 'score': -1.49086144584812}]",,False,lexical_sensitivity
cloud_005,es,cloud,"Construir un pipeline de despliegue que genere imágenes Docker, las publique en un registro y realice actualizaciones rolling con rollback automático.",dificil,synthetic_controlled,9d81e0ea-4a1e-4bba-bb78-a4bf97d0bcb6,36,2026-08-13T07:20:24.386+00:00,str,"Construir un pipeline de despliegue que genere imágenes Docker, las publique en un registro y realice actualizaciones rolling con rollback automático.",150,21,True,Inferencia completada.,revision,frontend,cloud,-0.3285895120495517,-0.48555581036363316,0.15696629831408143,Crítica,289,4,285,289,Revisión humana recomendada,True,True,['El margen de decisión es reducido.'],"[{'position': 1, 'category': 'frontend', 'score': -0.3285895120495517}, {'position': 2, 'category': 'cloud', 'score': -0.48555581036363316}, {'position': 3, 'category': 'datascience', 'score': -0.678328736845262}, {'position': 4, 'category': 'backend', 'score': -0.6890895005288142}]",,False,semantic_boundary
cloud_005,en,cloud,"Build a deployment pipeline that creates Docker images, publishes them to a registry, and performs rolling updates with automatic rollback.",dificil,synthetic_controlled,9d81e0ea-4a1e-4bba-bb78-a4bf97d0bcb6,37,2026-08-13T07:20:24.386+00:00,str,"Build a deployment pipeline that creates Docker images, publishes them to a registry, and performs rolling updates with automatic rollback.",139,20,True,Inferencia completada.,revision,frontend,cloud,-0.13152352350395322,-0.43646609929844177,0.3049425757944886,Baja,340,19,321,340,Revisión humana recomendada,True,True,['El margen de decisión es reducido.'],"[{'position': 1, 'category': 'frontend', 'score': -0.13152352350395322}, {'position': 2, 'category': 'cloud', 'score': -0.43646609929844177}, {'position': 3, 'category': 'datascience', 'score': -0.7235373905592485}, {'position': 4, 'category': 'backend', 'score': -1.3088425103431787}]",,False,semantic_boundary
cloud_005,es_en,cloud,"Construir un deployment pipeline que build Docker images, las publique en un registry y haga rolling updates con automatic rollback.",dificil,synthetic_controlled,9d81e0ea-4a1e-4bba-bb78-a4bf97d0bcb6,39,2026-08-13T07:20:24.386+00:00,str,"Construir un deployment pipeline que build Docker images, las publique en un registry y haga rolling updates con automatic rollback.",132,20,True,Inferencia completada.,revision,frontend,cloud,-0.37314996100860687,-0.4330911104556552,0.059941149447048314,Crítica,293,9,284,293,Revisión humana recomendada,True,True,['El margen de decisión es reducido.'],"[{'position': 1, 'category': 'frontend', 'score': -0.37314996100860687}, {'position': 2, 'category': 'cloud', 'score': -0.4330911104556552}, {'position': 3, 'category': 'datascience', 'score': -0.661510664037315}, {'position': 4, 'category': 'backend', 'score': -1.053568524868843}]",,False,semantic_boundary
datascience_002,ru,datascience,"Предсказать отток клиентов с помощью логистической регрессии, создать признаки, обработать дисбаланс классов и сравнить precision, recall и F1.",facil,synthetic_controlled,9d81e0ea-4a1e-4bba-bb78-a4bf97d0bcb6,46,2026-08-13T07:20:24.386+00:00,str,"Предсказать отток клиентов с помощью логистической регрессии, создать признаки, обработать дисбаланс классов и сравнить precision, recall и F1.",143,18,True,Inferencia completada.,revision,cloud,datascience,-0.24356170892117895,-0.459706385086605,0.21614467616542604,Crítica,43,3,40,43,Revisión humana recomendada,True,True,"['Cobertura reducida de características.', 'El margen de decisión es reducido.']","[{'position': 1, 'category': 'cloud', 'score': -0.24356170892117895}, {'position': 2, 'category': 'datascience', 'score': -0.459706385086605}, {'position': 3, 'category': 'frontend', 'score': -0.73151065173039}, {'position': 4, 'category': 'backend', 'score': -0.838562487590098}]",,False,linguistic_OOD
datascience_003,es,datascience,Entrenar una red neuronal convolucional con TensorFlow para clasificar imágenes y comparar las curvas de pérdida de entrenamiento y validación.,media,synthetic_controlled,9d81e0ea-4a1e-4bba-bb78-a4bf97d0bcb6,48,2026-08-13T07:20:24.386+00:00,str,Entrenar una red neuronal convolucional con TensorFlow para clasificar imágenes y comparar las curvas de pérdida de entrenamiento y validación.,143,20,True,Inferencia completada.,revision,cloud,frontend,-0.34132955748682253,-0.42553308830704084,0.08420353082021831,Crítica,211,3,208,211,Revisión humana recomendada,True,True,['El margen de decisión es reducido.'],"[{'position': 1, 'category': 'cloud', 'score': -0.34132955748682253}, {'position': 2, 'category': 'frontend', 'score': -0.42553308830704084}, {'position': 3, 'category': 'datascience', 'score': -0.5274259744133953}, {'position': 4, 'category': 'backend', 'score': -0.9142055149275513}]",,False,lexical_sensitivity
datascience_003,ru,datascience,Обучить сверточную нейронную сеть в TensorFlow для классификации изображений и сравнить кривые потерь на training и validation.,media,synthetic_controlled,9d81e0ea-4a1e-4bba-bb78-a4bf97d0bcb6,50,2026-08-13T07:20:24.386+00:00,str,Обучить сверточную нейронную сеть в TensorFlow для классификации изображений и сравнить кривые потерь на training и validation.,127,17,True,Inferencia completada.,revision,cloud,backend,-0.38104650092357806,-0.41476110380047093,0.033714602876892874,Crítica,87,6,81,87,Revisión humana recomendada,True,True,"['Cobertura reducida de características.', 'El margen de decisión es reducido.']","[{'position': 1, 'category': 'cloud', 'score': -0.38104650092357806}, {'position': 2, 'category': 'backend', 'score': -0.41476110380047093}, {'position': 3, 'category': 'frontend', 'score': -0.6969122252372083}, {'position': 4, 'category': 'datascience', 'score': -0.934544495791938}]",,False,linguistic_OOD
datascience_004,ru,datascience,"Проанализировать временной ряд продаж, изучить тренд и сезонность и сравнить модели ARIMA для прогноза следующих месяцев.",media,synthetic_controlled,9d81e0ea-4a1e-4bba-bb78-a4bf97d0bcb6,54,2026-08-13T07:20:24.386+00:00,str,"Проанализировать временной ряд продаж, изучить тренд и сезонность и сравнить модели ARIMA для прогноза следующих месяцев.",121,16,True,Inferencia completada.,revision,cloud,backend,0.10218928221536416,-0.7282340792046833,0.8304233614200475,Media,13,2,11,13,Revisión humana recomendada,True,True,['Cobertura reducida de características.'],"[{'position': 1, 'category': 'cloud', 'score': 0.10218928221536416}, {'position': 2, 'category': 'backend', 'score': -0.7282340792046833}, {'position': 3, 'category': 'frontend', 'score': -0.7362899387209314}, {'position': 4, 'category': 'datascience', 'score': -0.9183631674506099}]",,False,linguistic_OOD
datascience_005,es,datascience,"Reducir variables con PCA, aplicar K-Means para segmentar observaciones y usar silhouette score para seleccionar el número de clusters.",dificil,synthetic_controlled,9d81e0ea-4a1e-4bba-bb78-a4bf97d0bcb6,56,2026-08-13T07:20:24.386+00:00,str,"Reducir variables con PCA, aplicar K-Means para segmentar observaciones y usar silhouette score para seleccionar el número de clusters.",135,19,True,Inferencia completada.,revision,backend,cloud,-0.2896064394070561,-0.6335433583332692,0.34393691892621314,Baja,263,5,258,263,Revisión humana recomendada,True,True,['El margen de decisión es reducido.'],"[{'position': 1, 'category': 'backend', 'score': -0.2896064394070561}, {'position': 2, 'category': 'cloud', 'score': -0.6335433583332692}, {'position': 3, 'category': 'datascience', 'score': -0.6477221676193639}, {'position': 4, 'category': 'frontend', 'score': -0.8797477184684526}]",,False,lexical_sensitivity
datascience_005,ru,datascience,"Снизить размерность с помощью PCA, применить K-Means для сегментации наблюдений и использовать silhouette score для выбора числа кластеров.",dificil,synthetic_controlled,9d81e0ea-4a1e-4bba-bb78-a4bf97d0bcb6,58,2026-08-13T07:20:24.386+00:00,str,"Снизить размерность с помощью PCA, применить K-Means для сегментации наблюдений и использовать silhouette score для выбора числа кластеров.",139,18,True,Inferencia completada.,revision,cloud,datascience,-0.3042778591601166,-0.32056944902509477,0.01629158986497814,Crítica,46,3,43,46,Revisión humana recomendada,True,True,"['Cobertura reducida de características.', 'El margen de decisión es reducido.']","[{'position': 1, 'category': 'cloud', 'score': -0.3042778591601166}, {'position': 2, 'category': 'datascience', 'score': -0.32056944902509477}, {'position': 3, 'category': 'backend', 'score': -0.8542808674055742}, {'position': 4, 'category': 'frontend', 'score': -1.0178052732243328}]",,False,linguistic_OOD
