ood_id,dominio,idioma,texto,domain
ood_001,cocina,es,"Preparar una tortilla de patatas con cebolla, huevos y aceite de oliva.",OOD
ood_002,cocina,es,Hornear un pastel de chocolate y decorar la superficie con crema.,OOD
ood_003,cocina,es,Cocinar arroz con verduras y servirlo caliente.,OOD
ood_004,cocina,en,"Prepare a potato omelette with onions, eggs and olive oil.",OOD
ood_005,cocina,en,Bake a chocolate cake and decorate the top with cream.,OOD
ood_006,cocina,en,Cook rice with vegetables and serve it hot.,OOD
ood_007,cocina,ru,"Приготовить картофельный омлет с луком, яйцами и оливковым маслом.",OOD
ood_008,cocina,ru,Испечь шоколадный торт и украсить его кремом.,OOD
ood_009,cocina,ru,Приготовить рис с овощами и подать горячим.,OOD
ood_010,cocina,es_en,"Preparar una potato omelette con cebolla, huevos y olive oil.",OOD
ood_011,cocina,es_en,Hornear un chocolate cake y decorar la superficie con crema.,OOD
ood_012,cocina,es_en,Cocinar rice con verduras y servirlo hot.,OOD
ood_013,deportes,es,El equipo marcó dos goles durante la segunda mitad del partido.,OOD
ood_014,deportes,es,La corredora entrenó durante meses para completar el maratón.,OOD
ood_015,deportes,es,El jugador lanzó la pelota desde fuera del área.,OOD
ood_016,deportes,en,The team scored two goals during the second half of the match.,OOD
ood_017,deportes,en,The runner trained for months to complete the marathon.,OOD
ood_018,deportes,en,The player kicked the ball from outside the penalty area.,OOD
ood_019,deportes,ru,Команда забила два гола во втором тайме матча.,OOD
ood_020,deportes,ru,Бегунья тренировалась несколько месяцев перед марафоном.,OOD
ood_021,deportes,ru,Игрок ударил по мячу из-за пределов штрафной площади.,OOD
ood_022,deportes,es_en,El team marcó dos goals durante la segunda mitad del match.,OOD
ood_023,deportes,es_en,La runner entrenó durante meses para completar el marathon.,OOD
ood_024,deportes,es_en,El player lanzó la ball desde fuera del área.,OOD
ood_025,viajes,es,Reservar un hotel cerca del centro histórico para tres noches.,OOD
ood_026,viajes,es,El vuelo sale por la mañana y llega a la ciudad por la tarde.,OOD
ood_027,viajes,es,Visitaremos varios museos y monumentos durante las vacaciones.,OOD
ood_028,viajes,en,Book a hotel near the historic center for three nights.,OOD
ood_029,viajes,en,The flight leaves in the morning and arrives in the city in the afternoon.,OOD
ood_030,viajes,en,We will visit several museums and monuments during the vacation.,OOD
ood_031,viajes,ru,Забронировать отель рядом с историческим центром на три ночи.,OOD
ood_032,viajes,ru,Самолёт вылетает утром и прибывает в город днём.,OOD
ood_033,viajes,ru,Во время отпуска мы посетим несколько музеев и памятников.,OOD
